GliCLAzide MR TabletOral DM Agents
Metformin HCl TabletOral DM Agents
Metformin HCl XR Extended Release TabletOral DM Agents
Sitagliptin TabletOral DM Agents
Tolbutamide TabletOral DM Agents
Acarbose TabletOral DM Agents
Repaglinide TabletOral DM Agents
GliPIzide TabletOral DM Agents
"MIXTARD 30 Injection [Soluble 30%, Isophane 70%]Insulin"
GliCLAzide  TabletOral DM Agents
Linagliptin TabletOral DM Agents
GliBENclamide TabletOral DM Agents
Glimepiride TabletOral DM Agents
INSULATARD [Insulin Isophane] PenfillInsulin
"NovoMIX 30 Flexpen [Aspart 30%, Protamine Aspart 70%]Insulin"
Metformin HCl[GLUCOPHAGE] TabletOral DM Agents
Pioglitazone TabletOral DM Agents
LANTUS [Insulin Glargine] SolostarInsulin
LEVEMIR [Insulin Detemir] FlexpenInsulin
INSULATARD [Insulin Isophane] InjectionInsulin
NovoRAPID [Insulin Aspart] FlexpenInsulin
"Kombiglyze XR 5/1000 Tablet [Saxagliptin, Metformin XR]Oral DM Agents"
Vildagliptin TabletOral DM Agents
"MIXTARD 30 Penfill [Soluble 30%, Isophane 70%]Insulin"
SAXAgliptin TabletOral DM Agents
ACTRAPID [Insulin Soluble] InjectionInsulin
LANTUS [Insulin Glargine] InjectionInsulin
"Kombiglyze XR 2.5/1000 Tablet [Saxagliptin, Metformin XR]Oral DM Agents"
Liraglutide InjectionGLP-1 RA
NovoRAPID [Insulin Aspart] PenfillInsulin
ACTRAPID [Insulin Soluble] PenfillInsulin
"Janumet 50/1000 Tablet [Sitagliptin, Metformin]Oral DM Agents"
APIDRA [Insulin Glulisine] SolostarInsulin
"Galvus Met 50/1000 Tablet [Vildagliptin, Metformin]Oral DM Agents"
"Janumet 50/ 850 Tablet [Sitagliptin, Metformin]Oral DM Agents"
"HumALOG Mix 25 Penfill [Lispro 25%, Protamine Lispro 75%]Insulin"
"Glucovance 500/2.5 Tablet [Metformin, Glibenclamide]Oral DM Agents"
HumALOG [Insulin Lispro] InjectionInsulin
"Galvus Met 50/ 850 Tablet [Vildagliptin, Metformin]Oral DM Agents"
"Galvus Met 50/ 500 Tablet [Vildagliptin, Metformin]Oral DM Agents"
"Janumet 50/ 500 Tablet [Sitagliptin, Metformin]Oral DM Agents"
HumALOG [Insulin Lispro] PenfillInsulin
ChlorproPAMIDE TabletOral DM Agents
"Trajenta Duo Tablet [Linagliptin 2.5mg, Metformin 1000mg]Oral DM Agents"
Dapagliflozin TabletOral DM Agents
"GlucoVANCE 500/2.5 Tablet [Metformin, Glibenclamide]Oral DM Agents"
HumALOG [Insulin Lispro] KwikPenInsulin
Canagliflozin TabletOral DM Agents
"Trajenta Duo Tablet [Linagliptin 2.5mg, Metformin  500mg]Oral DM Agents"
"HumALOG Mix75/25 KwikPen [Lispro Protamine, Lispro]Insulin"
